City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nogliki,51.8333,143.1667,-5.82,93,3.66,3.66,RU,1740527387
1,puerto natales,-51.7236,-72.4875,6.23,67,5.61,5.61,CL,1740527388
2,margaret river,-33.95,115.0667,16.9,77,3.05,3.05,AU,1740527389
3,laojunmiao,39.8333,97.7333,-1.47,15,3.41,3.41,CN,1740527390
4,vorgashor,67.5833,63.95,-2.77,97,4.06,4.06,RU,1740527391
5,arta,39.1606,20.9853,10.39,86,1.02,1.02,GR,1740527393
6,banda aceh,5.5577,95.3222,25.28,89,6.5,6.5,ID,1740527394
7,adamstown,-25.066,-130.1015,26.12,73,4.82,4.82,PN,1740527395
8,lompoc,34.6391,-120.4579,19.73,59,10.29,10.29,US,1740527396
9,ketchikan,55.3422,-131.6461,8.21,90,7.2,7.2,US,1740527398
10,saint-pierre,-21.3393,55.4781,27.82,78,3.6,3.6,RE,1740527399
11,kismayo,-0.3582,42.5454,24.96,87,7.19,7.19,SO,1740527400
12,longyearbyen,78.2186,15.6401,1.91,75,11.32,11.32,SJ,1740527402
13,albany,42.6001,-73.9662,4.17,92,1.56,1.56,US,1740527404
14,talnakh,69.4865,88.3972,-28.75,80,2.81,2.81,RU,1740527405
15,ushuaia,-54.8,-68.3,2.81,93,5.14,5.14,AR,1740527224
16,cabo san lucas,22.8909,-109.9124,28.17,58,4.12,4.12,MX,1740527413
17,port-aux-francais,-49.35,70.2167,4.87,93,7.15,7.15,TF,1740527415
18,edinburgh of the seven seas,-37.0676,-12.3116,17.75,86,3.7,3.7,SH,1740527416
19,la'ie,21.6477,-157.9253,28.92,73,1.79,1.79,US,1740527417
20,whitehorse,60.7161,-135.0538,-0.55,86,2.06,2.06,CA,1740527420
21,ierapetra,35.01,25.7353,10.08,85,1.79,1.79,GR,1740527422
22,waitangi,-43.9535,-176.5597,18.23,86,3.13,3.13,NZ,1740527430
23,hadibu,12.65,54.0333,24.18,80,3.09,3.09,YE,1740527431
24,blackmans bay,-43.0167,147.3167,21.07,41,3.18,3.18,AU,1740527432
25,as sulayyil,20.4607,45.5779,11.55,46,5.56,5.56,SA,1740527436
26,grytviken,-54.2811,-36.5092,6.29,76,5.71,5.71,GS,1740527417
27,chonchi,-42.6128,-73.8092,13.15,90,0.92,0.92,CL,1740527438
28,peterhead,57.5058,-1.7981,4.09,75,4.12,4.12,GB,1740527439
29,college,64.8569,-147.8028,-8.22,53,0.0,0.0,US,1740527440
30,hermanus,-34.4187,19.2345,19.33,83,7.97,7.97,ZA,1740527441
31,yichang,30.7144,111.2847,8.23,76,0.57,0.57,CN,1740527446
